이름,주소,전화번호,메뉴,영업시간
도톰카츠 광명점,"경기도 광명시 일직로 72 B동 112호 지번
지도보기",0507-1473-0244,"등심: 13,000원
안심: 14,000원
테라: 3,000원
가브리등심: 15,000원
치즈카츠: 14,000원
모듬카츠: 17,000원
추가치즈한덩이: 6,000원
추가안심: 4,000원
한입카레: 3,500원
콜라: 2,000원
사이다: 2,000원
등심: 13,000원
안심: 14,000원
테라: 3,000원
가브리등심: 15,000원
치즈카츠: 14,000원
모듬카츠: 17,000원
추가치즈한덩이: 6,000원
추가안심: 4,000원
한입카레: 3,500원
콜라: 2,000원
사이다: 2,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 19:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 19:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""18:30""
    }
}"
김태완스시,"경기도 광명시 오리로854번길 6 1층김태완스시 지번
지도보기",0507-1370-6682,"점심특선(우동/돈카츠/라멘or모밀): 10,000원
모듬회(미)2ps* 12종류: 45,000원
오마카세 한판: 33,000원
싱싱회덮밥: 10,000원
오늘의초밥(10ps): 14,500원
수제돈카츠: 10,000원
커플세트: 39,000원
특선초밥(12P): 17,000원
스페셜초밥(12P): 21,000원
활생선초밥(10P): 23,000원
생새우+초밥(5PS+5PS): 22,000원
광어+연어초밥(5PS+5PS): 21,000원
눈다랑어초밥 10ps: 20,000원
새우불초밥 10ps: 19,000원
광어초밥 10ps: 21,000원
꽃등심불초밥 10ps: 21,000원
리얼탱탱달달-생새우초밥 10ps: 22,000원
광어+왕새우초밥(5PS+5PS): 19,000원
광어+참치초밥(5PS+5PS): 21,000원
꽃등심+연어초밥(5PS+5PS): 23,000원
꽃등심+광어초밥(5PS+5PS): 21,000원
꽃등심+참치초밥(5PS+5PS): 21,000원
꽃등심+왕새우초밥(5PS+5PS): 21,000원
연어+참치초밥(5PS+5PS): 23,000원
연어+왕새우초밥(5PS+5PS): 23,000원
참치+왕새우초밥(5PS+5PS): 21,000원
계란 2ps: 2,500원
유부 2ps: 2,500원
날치알군함 2ps: 2,500원
대마끼 2ps: 3,500원
왕새우 2ps: 3,500원
타코와사비 2ps: 3,500원
광어 2ps: 4,500원
눈다랑어 2ps: 4,000원
연어 2ps: 5,500원
장새우 2ps: 4,500원
새우불초밥 2ps: 4,500원
황새치 2ps: 4,500원
묵은지광어 2ps: 5,500원
명란마구로 2ps: 8,000원
농어 2ps: 5,500원
도미 2ps: 5,500원
꽃등심불초밥 2ps: 5,500원
생새우 2ps: 5,500원
장어 2ps: 5,500원
광어지느러미 2ps: 5,500원
연어대뱃살 2ps: 5,500원
전복 2ps: 8,500원
단새우 2ps: 6,500원
성게알 2ps: 9,000원
점심특선(우동/돈카츠/라멘or모밀): 10,000원
모듬회(미)2ps* 12종류: 45,000원
오마카세 한판: 33,000원
싱싱회덮밥: 10,000원
오늘의초밥(10ps): 14,500원
수제돈카츠: 10,000원
커플세트: 39,000원
특선초밥(12P): 17,000원
스페셜초밥(12P): 21,000원
활생선초밥(10P): 23,000원
생새우+초밥(5PS+5PS): 22,000원
광어+연어초밥(5PS+5PS): 21,000원
눈다랑어초밥 10ps: 20,000원
새우불초밥 10ps: 19,000원
광어초밥 10ps: 21,000원
꽃등심불초밥 10ps: 21,000원
리얼탱탱달달-생새우초밥 10ps: 22,000원
광어+왕새우초밥(5PS+5PS): 19,000원
광어+참치초밥(5PS+5PS): 21,000원
꽃등심+연어초밥(5PS+5PS): 23,000원
꽃등심+광어초밥(5PS+5PS): 21,000원
꽃등심+참치초밥(5PS+5PS): 21,000원
꽃등심+왕새우초밥(5PS+5PS): 21,000원
연어+참치초밥(5PS+5PS): 23,000원
연어+왕새우초밥(5PS+5PS): 23,000원
참치+왕새우초밥(5PS+5PS): 21,000원
계란 2ps: 2,500원
유부 2ps: 2,500원
날치알군함 2ps: 2,500원
대마끼 2ps: 3,500원
왕새우 2ps: 3,500원
타코와사비 2ps: 3,500원
광어 2ps: 4,500원
눈다랑어 2ps: 4,000원
연어 2ps: 5,500원
장새우 2ps: 4,500원
새우불초밥 2ps: 4,500원
황새치 2ps: 4,500원
묵은지광어 2ps: 5,500원
명란마구로 2ps: 8,000원
농어 2ps: 5,500원
도미 2ps: 5,500원
꽃등심불초밥 2ps: 5,500원
생새우 2ps: 5,500원
장어 2ps: 5,500원
광어지느러미 2ps: 5,500원
연어대뱃살 2ps: 5,500원
전복 2ps: 8,500원
단새우 2ps: 6,500원
성게알 2ps: 9,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    }
}"
연스시,"경기도 광명시 디지털로33번길 5 지번
지도보기",02-2066-1379,"연초밥 10p: 12,000원
모듬초밥 12p: 16,000원
연어초밥 10p: 18,000원
광어초밥 10p: 18,000원
회덮밥: 10,000원
연초밥 10p: 12,000원
모듬초밥 12p: 16,000원
연어초밥 10p: 18,000원
광어초밥 10p: 18,000원
회덮밥: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
이자카야 안안,"경기도 광명시 범안로 1030 101호 지번
지도보기",0507-1374-3978,"한우타다키: 
양 스지 전골: 19,000원
스지 수육: 19,000원
바질 바지락 술찜: 14,000원
안안나베: 39,000원
나가사키짬뽕: 16,000원
오뎅나베: 16,000원
삼겹숙주볶음: 13,000원
야키소바: 12,000원
명란 감자전: 12,000원
닭다리살 카라아게: 11,000원
타코와사비: 11,000원
돈코츠 라멘: 7,000원
쇼유 라벤: 7,000원
한우스지덮밥: 10,000원
치쿠와 새우튀김: 11,000원
굴튀김: 11,000원
양송이 멘보샤: 12,000원
모찌리도후와 꿀 토마토슬라이스: 12,000원
시샤모: 9,000원
타코야키: 8,000원
크림치즈와 토마토스라이스: 7,000원
아게다시도후: 9,000원
한우타다키: 
양 스지 전골: 19,000원
스지 수육: 19,000원
바질 바지락 술찜: 14,000원
안안나베: 39,000원
나가사키짬뽕: 16,000원
오뎅나베: 16,000원
삼겹숙주볶음: 13,000원
야키소바: 12,000원
명란 감자전: 12,000원
닭다리살 카라아게: 11,000원
타코와사비: 11,000원
돈코츠 라멘: 7,000원
쇼유 라벤: 7,000원
한우스지덮밥: 10,000원
치쿠와 새우튀김: 11,000원
굴튀김: 11,000원
양송이 멘보샤: 12,000원
모찌리도후와 꿀 토마토슬라이스: 12,000원
시샤모: 9,000원
타코야키: 8,000원
크림치즈와 토마토스라이스: 7,000원
아게다시도후: 9,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""00:00""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""00:00""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""00:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""00:00""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""일"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""00:00""
    }
}"
삼동소바 광명직영점,"경기도 광명시 밤일로 14 1층 지번
지도보기",0507-1447-3443,"삼동소바(자가제면): 10,000원
삼동정식: 15,000원
비빔소바: 10,000원
카레돈까스덮밥: 11,000원
삼동돈가스 double: 13,000원
삼동떡볶이: 5,500원
온소바정식: 15,000원
우동정식: 15,000원
얼큰우동정식: 15,000원
온소바: 10,000원
사누끼우동: 10,000원
얼큰우동: 10,000원
우육우동: 11,000원
우육소바: 11,000원
매콤우육우동: 11,000원
매콤우육소바: 11,000원
짬뽕순두부우동: 11,000원
짬뽕순두부밥: 11,000원
유부초밥(2개): 4,500원
대게튀김(3개): 4,500원
꾼만두: 4,500원
면추가: 5,000원
모밀육수: 2,000원
삼동소바(자가제면): 10,000원
삼동정식: 15,000원
비빔소바: 10,000원
카레돈까스덮밥: 11,000원
삼동돈가스 double: 13,000원
삼동떡볶이: 5,500원
온소바정식: 15,000원
우동정식: 15,000원
얼큰우동정식: 15,000원
온소바: 10,000원
사누끼우동: 10,000원
얼큰우동: 10,000원
우육우동: 11,000원
우육소바: 11,000원
매콤우육우동: 11,000원
매콤우육소바: 11,000원
짬뽕순두부우동: 11,000원
짬뽕순두부밥: 11,000원
유부초밥(2개): 4,500원
대게튀김(3개): 4,500원
꾼만두: 4,500원
면추가: 5,000원
모밀육수: 2,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    }
}"
긴자 광명점,"경기도 광명시 밤일안로 41 2층 지번
지도보기",02-899-5502,"[점심] 점심 정식: 26,000원
[점심] 점심 코스: 35,000원
[점심] 점심 스페셜: 55,000원
[저녁] 저녁 정식: 39,000원
[저녁]사시미 코스: 59,000원
[저녁 사시미 스페셜: 89,000원
[저녁] 밸류 스페셜: 130,000원
[주말] 주말 가족 정식: 35,000원
[주말] 주말 가족 코스: 45,000원
[주말] 주말 가족 스페셜: 65,000원
[주말] 어린이돈까스 세트: 18,000원
[점심 단품] 김치 대구탕: 15,000원
[점심 단품] 매생이 전복죽: 18,000원
[점심 단품] 활어 회덮밥: 25,000원
[점심 단품] 초밥 정식: 29,000원
[점심 단품] 물회 소바 정식: 35,000원
[긴자 초밥] 모둠 초밥: 25,000원
[긴자 초밥] 활어 초밥: 28,000원
[긴자 초밥] 특 초밥: 38,000원
[긴자 초밥] 프리미엄 초밥: 54,000원
[일품요리] 活통전복죽: 25,000원
[일품요리] 모둠튀김: 30,000원
[일품요리] 활어회무침: 35,000원
[일품요리] 아라다께(조림): 50,000원
[일품요리] 모둠사시미 (12p): 40,000원
[일품요리] 모둠사시미 (18p): 60,000원
[일품요리] 참치모둠사시미: 60,000원
[점심] 점심 정식: 26,000원
[점심] 점심 코스: 35,000원
[점심] 점심 스페셜: 55,000원
[저녁] 저녁 정식: 39,000원
[저녁]사시미 코스: 59,000원
[저녁 사시미 스페셜: 89,000원
[저녁] 밸류 스페셜: 130,000원
[주말] 주말 가족 정식: 35,000원
[주말] 주말 가족 코스: 45,000원
[주말] 주말 가족 스페셜: 65,000원
[주말] 어린이돈까스 세트: 18,000원
[점심 단품] 김치 대구탕: 15,000원
[점심 단품] 매생이 전복죽: 18,000원
[점심 단품] 활어 회덮밥: 25,000원
[점심 단품] 초밥 정식: 29,000원
[점심 단품] 물회 소바 정식: 35,000원
[긴자 초밥] 모둠 초밥: 25,000원
[긴자 초밥] 활어 초밥: 28,000원
[긴자 초밥] 특 초밥: 38,000원
[긴자 초밥] 프리미엄 초밥: 54,000원
[일품요리] 活통전복죽: 25,000원
[일품요리] 모둠튀김: 30,000원
[일품요리] 활어회무침: 35,000원
[일품요리] 아라다께(조림): 50,000원
[일품요리] 모둠사시미 (12p): 40,000원
[일품요리] 모둠사시미 (18p): 60,000원
[일품요리] 참치모둠사시미: 60,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
스시와,"경기도 광명시 광명로 915 1층102호 지번
지도보기",0507-1446-6781,"오늘의초밥: 13,000원
모둠초밥: 16,000원
스시와특모듬초밥: 19,000원
스페셜 초밥: 26,000원
그릴모듬 초밥: 17,000원
새우모듬 초밥: 15,000원
어린이 초밥: 10,000원
오늘의초밥: 13,000원
모둠초밥: 16,000원
스시와특모듬초밥: 19,000원
스페셜 초밥: 26,000원
그릴모듬 초밥: 17,000원
새우모듬 초밥: 15,000원
어린이 초밥: 10,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 21:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
스시다다,"경기도 광명시 철산로30번길 5 기린빌딩 2층 201호 스시다다 지번
지도보기",02-2135-5232,"런치 1부 오후 12:00 ~1:30: 39,000원
런치 2부 오후1:30~3:00: 39,000원
디너 1부 오후 6:00 ~ 8:00: 59,000원
디너 2부 오후8:00 ~ 10:00: 59,000원
런치 1부 오후 12:00 ~1:30: 39,000원
런치 2부 오후1:30~3:00: 39,000원
디너 1부 오후 6:00 ~ 8:00: 59,000원
디너 2부 오후8:00 ~ 10:00: 59,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
스시153,"경기도 광명시 일직로 22 효성해링턴타워 더퍼스트 2층 지번
지도보기",02-897-0153,"B 세트: 19,000원
커플 세트: 32,000원
B세트: 21,000원
연어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
광어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
스페셜세트: 26,000원
어린이세트: 9,000원
차돌박이초밥+샐러드+미니우동(하절기는 미니모밀): 20,000원
반반초밥1(광어+연어)샐러드+미니우동(하절기는 모밀): 21,000원
반반초밥2(광어+차돌)+샐러드+미니우동(하절기는 모밀)(1인분): 20,000원
반반초밥3(연어+차돌)+샐러드 +미니우동(하절기는모밀): 20,000원
장어덮밥: 15,000원
런치 세트: 11,000원
후토마끼 2개: 5,000원
후토마끼5개: 12,000원
후토마끼 10개: 22,000원
오도로: 6,000원
참치 아카미: 2,500원
참치갈릭스테이크: 2,500원
연어: 2,200원
연어 아부리: 2,200원
광어: 2,300원
광어 엔가와: 2,500원
A 세트: 15,000원
장어: 2,300원
간장새우: 2,500원
차돌박이: 2,100원
소라: 1,700원
한치: 1,700원
타코와사비: 1,700원
날치알: 1,700원
갈릭새우: 1,400원
유자새우: 1,400원
초새우: 1,400원
혼술 세트: 22,000원
계란말이: 1,100원
유부: 1,100원
고구마 치즈고로케(6PCS): 12,000원
왕새우튀김(8PCS): 16,000원
유린기: 14,000원
단품사시미 1+물회: 50,000원
단품사시미 2: 30,000원
모듬사시미+물회: 50,000원
콜라: 2,000원
사이다: 2,000원
광어회덮밥: 13,000원
환타: 2,000원
모듬사시미: 50,000원
스페셜 세트: 25,000원
커플세트: 34,000원
A세트: 16,000원
B 세트: 19,000원
커플 세트: 32,000원
B세트: 21,000원
연어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
광어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
스페셜세트: 26,000원
어린이세트: 9,000원
차돌박이초밥+샐러드+미니우동(하절기는 미니모밀): 20,000원
반반초밥1(광어+연어)샐러드+미니우동(하절기는 모밀): 21,000원
반반초밥2(광어+차돌)+샐러드+미니우동(하절기는 모밀)(1인분): 20,000원
반반초밥3(연어+차돌)+샐러드 +미니우동(하절기는모밀): 20,000원
장어덮밥: 15,000원
런치 세트: 11,000원
후토마끼 2개: 5,000원
후토마끼5개: 12,000원
후토마끼 10개: 22,000원
오도로: 6,000원
참치 아카미: 2,500원
참치갈릭스테이크: 2,500원
연어: 2,200원
연어 아부리: 2,200원
광어: 2,300원
광어 엔가와: 2,500원
A 세트: 15,000원
장어: 2,300원
간장새우: 2,500원
차돌박이: 2,100원
소라: 1,700원
한치: 1,700원
타코와사비: 1,700원
날치알: 1,700원
갈릭새우: 1,400원
유자새우: 1,400원
초새우: 1,400원
혼술 세트: 22,000원
계란말이: 1,100원
유부: 1,100원
고구마 치즈고로케(6PCS): 12,000원
왕새우튀김(8PCS): 16,000원
유린기: 14,000원
단품사시미 1+물회: 50,000원
단품사시미 2: 30,000원
모듬사시미+물회: 50,000원
콜라: 2,000원
사이다: 2,000원
광어회덮밥: 13,000원
환타: 2,000원
모듬사시미: 50,000원
스페셜 세트: 25,000원
커플세트: 34,000원
A세트: 16,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
소노야 광명역점,"경기도 광명시 광명역로 21 KTX 1층 지번
지도보기",02-1833-5373,"돈까스알밥세트: 11,500원
치즈돈까스: 14,000원
치킨카레: 9,500원
돈까스카레: 9,500원
철판김치가쯔돈: 9,500원
철판낙지덮밥: 10,000원
알밥: 8,500원
규동(소고기 덮밥): 9,500원
가쯔돈: 9,000원
치즈냄비돈까스: 10,500원
냄비돈까스: 9,500원
미소라멘: 9,000원
등심돈까스: 12,000원
해물탄탄멘: 9,500원
고기탄탄멘: 10,000원
돈코츠라멘: 9,000원
왕돈까스: 14,000원
스시모밀세트: 15,000원
모밀정식: 15,000원
알밥자루소바(계절): 9,500원
돈까스냉모밀: 10,500원
냉모밀: 8,500원
자루소바(계절): 7,500원
돈까스알밥세트: 11,500원
치즈돈까스: 14,000원
치킨카레: 9,500원
돈까스카레: 9,500원
철판김치가쯔돈: 9,500원
철판낙지덮밥: 10,000원
알밥: 8,500원
규동(소고기 덮밥): 9,500원
가쯔돈: 9,000원
치즈냄비돈까스: 10,500원
냄비돈까스: 9,500원
미소라멘: 9,000원
등심돈까스: 12,000원
해물탄탄멘: 9,500원
고기탄탄멘: 10,000원
돈코츠라멘: 9,000원
왕돈까스: 14,000원
스시모밀세트: 15,000원
모밀정식: 15,000원
알밥자루소바(계절): 9,500원
돈까스냉모밀: 10,500원
냉모밀: 8,500원
자루소바(계절): 7,500원","{
    ""월"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""화"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""수"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""금"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""토"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""일"": {
        ""영업시간"": ""06:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    }
}"
